"","cod","n","dist"
"1052","W79",250,0.000139542891419852
"1053","W80",79,0.000480617092724959
"1056","W84",620,0.000180194284772469
"1057","W85",77,0.00160563686801598
"1059","W87",456,0.000584790126985563
"1069","X09",540,5.59510717865427e-05
"1079","X23",86,0.00117712443595929
"1087","X33",97,0.00512697298595742
"1094","X42",55,0.000731656733891451
"1096","X44",107,0.000466948106852194
"1097","X45",370,0.00016099250711499
"1099","X47",180,0.00025736129588111
"1100","X48",117,0.000536764702226807
"1101","X49",234,0.000241655749359418
"1105","X59",8188,1.8572812511145e-05
"1113","X68",156,0.000422566194562838
"1114","X69",115,0.000369699456379658
"1115","X70",3028,6.22579525373599e-05
"1119","X74",502,0.000116170448350637
"1133","X91",700,0.000152979257151156
"1134","X92",64,0.00105215934929098
"1136","X94",101,0.000845401170340714
"1137","X95",7228,0.000197722165967207
"1139","X97",51,0.00228989469417154
"1140","X99",1575,0.000373071044601718
"1141","Y00",126,0.000709048250636008
"1145","Y04",119,0.000485104960643391
"1150","Y09",1150,8.83191986460582e-05
"1159","Y19",76,0.000498218968297041
"1160","Y20",350,0.000111489123104915
"1161","Y21",165,0.000815469903368613
"1163","Y24",427,0.000303848772698704
"1165","Y26",51,0.00109761731788319
"1166","Y28",118,0.000480805887531628
"1168","Y30",89,0.000379476687170088
"1171","Y33",55,0.000685368193162653
"1172","Y34",749,6.05761916103275e-05
"1182","Y57",107,0.00031905478602702
"1188","Y83",171,0.000200300249567366
"1191","Y86",357,0.00010227805466968
