"","cod","n","dist"
"2","A02",62,0.000738141817166655
"4","A04",137,0.000208216621335744
"6","A06",82,0.000405001574902897
"9","A09",3016,2.84327509154974e-05
"10","A15",203,0.0002201151085454
"11","A16",1642,2.92654180969304e-05
"12","A17",95,0.00050342154794317
"13","A18",92,0.000531108714698765
"14","A19",146,0.000368544157413878
"25","A41",4120,1.32103644236623e-05
"40","A86",195,0.000197365470939578
"47","B01",129,0.000476767808957675
"50","B16",103,0.000378898483869276
"52","B18",716,4.86241548167316e-05
"53","B19",324,0.0001132704183478
"54","B20",2599,1.93746329154488e-05
"55","B21",194,0.000253025755720774
"56","B22",416,0.00014427527710044
"57","B23",1020,2.25063712681821e-05
"58","B24",720,0.000106436437524154
"65","B37",84,0.000860990715659112
"81","B69",87,0.000454809020208451
"89","B90",192,0.000233219624677167
"91","B94",223,0.000214743598885964
"95","C02",201,0.000161185107007405
"99","C06",88,0.00055595813478349
"100","C07",95,0.000494507000345744
"104","C11",59,0.000401758676247731
"107","C14",167,0.000249606713991078
"108","C15",868,5.93192522934665e-05
"109","C16",5222,1.25310218647558e-05
"110","C17",178,0.000122670761935217
"111","C18",3114,9.90624134171367e-06
"112","C19",156,0.000280532308989564
"113","C20",519,9.60287078011874e-05
"114","C21",52,0.00091585213726389
"115","C22",4772,9.29164186594175e-06
"116","C23",551,9.52938659828817e-05
"117","C24",1003,4.28137436712286e-05
"118","C25",3433,1.34575682915748e-05
"119","C26",333,0.000191157731190282
"122","C32",809,7.76010883135952e-05
"124","C34",6333,6.3737817811844e-06
"126","C38",87,0.000487217691782751
"128","C40",98,0.000486679480165202
"129","C41",610,8.03183797312609e-05
"130","C43",468,6.24165271078052e-05
"131","C44",774,3.85735498051324e-05
"132","C45",222,0.000210837027154158
"135","C48",189,0.000182316756639439
"136","C49",607,9.00500363763381e-05
"137","C50",4632,1.47012526646093e-05
"138","C51",111,0.000377586409233133
"140","C53",3795,2.05886988703902e-05
"141","C54",316,0.00021121452351226
"142","C55",280,0.000117123780715306
"143","C56",1621,2.96088412008995e-05
"146","C60",143,0.000394275885930678
"147","C61",4862,1.02630334199031e-05
"148","C62",337,0.000168752353193567
"150","C64",1615,2.53904062932059e-05
"153","C67",989,3.66975347590124e-05
"155","C69",85,0.000428365020996654
"157","C71",1702,3.96830285082569e-05
"158","C72",53,0.00049758665026892
"159","C73",473,7.65822872235616e-05
"160","C74",83,0.000621407573765436
"161","C75",55,0.000491611326018795
"162","C76",527,8.32666969559919e-05
"164","C78",595,6.04067014475633e-05
"165","C79",304,0.000132512267960521
"166","C80",1799,5.33201369300681e-05
"167","C81",425,6.92216508965364e-05
"169","C83",240,0.000156866048452547
"170","C84",54,0.000517069770360283
"171","C85",1710,4.70838192192758e-05
"173","C90",783,5.15435273474913e-05
"174","C91",1768,2.58806696565774e-05
"175","C92",1169,3.10227718447804e-05
"178","C95",604,6.20317348033459e-05
"180","C97",706,6.03591047462348e-05
"195","D18",91,0.000375367688542761
"206","D32",264,0.000123322977332009
"208","D35",108,0.000288639930689995
"210","D37",693,4.96335973555759e-05
"211","D38",319,9.4940154802304e-05
"212","D39",51,0.000767124473258105
